date,sunspot
1934-07-06,12.444444444444445
1934-07-07,12.925925925925926
1934-07-08,13.592592592592593
1934-07-09,14.25925925925926
1934-07-10,15.37037037037037
1934-07-11,16.85185185185185
1934-07-12,17.666666666666668
1934-07-13,17.555555555555557
1934-07-14,17.11111111111111
1934-07-15,16.74074074074074
1934-07-16,16.59259259259259
1934-07-17,16.77777777777778
1934-07-18,16.88888888888889
1934-07-19,17.296296296296298
1934-07-20,17.22222222222222
1934-07-21,17.22222222222222
1934-07-22,16.74074074074074
1934-07-23,16.25925925925926
1934-07-24,16.74074074074074
1934-07-25,17.22222222222222
1934-07-26,17.22222222222222
1934-07-27,17.22222222222222
1934-07-28,17.59259259259259
1934-07-29,17.59259259259259
1934-07-30,17.59259259259259
1934-07-31,17.59259259259259
1934-08-01,17.59259259259259
1934-08-02,17.11111111111111
1934-08-03,16.62962962962963
1934-08-04,15.962962962962964
1934-08-05,15.296296296296296
1934-08-06,14.666666666666666
1934-08-07,13.74074074074074
1934-08-08,12.814814814814815
1934-08-09,11.88888888888889
1934-08-10,11.074074074074074
1934-08-11,10.592592592592593
1934-08-12,10.481481481481481
1934-08-13,10.814814814814815
1934-08-14,11.185185185185185
1934-08-15,11.62962962962963
1934-08-16,12.74074074074074
1934-08-17,13.296296296296296
1934-08-18,14.666666666666666
1934-08-19,15.481481481481481
1934-08-20,15.0
1934-08-21,14.518518518518519
1934-08-22,14.518518518518519
1934-08-23,14.962962962962964
1934-08-24,15.074074074074074
1934-08-25,15.074074074074074
1934-08-26,15.074074074074074
1934-08-27,15.518518518518519
1934-08-28,15.518518518518519
1934-08-29,15.518518518518519
1934-08-30,15.962962962962964
1934-08-31,15.962962962962964
1934-09-01,15.962962962962964
1934-09-02,15.481481481481481
1934-09-03,15.37037037037037
1934-09-04,14.814814814814815
1934-09-05,14.185185185185185
1934-09-06,13.518518518518519
1934-09-07,12.777777777777779
1934-09-08,11.481481481481481
1934-09-09,10.11111111111111
